"subscale","item_id"
"Ask_For_Help","I03"
"Ask_For_Help","I16"
"Ask_For_Help","I19"
"Ask_For_Help","I23"
"Interpretation","I02"
"Interpretation","I05"
"Interpretation","I06"
"Interpretation","I07"
"Interpretation","I09"
"Interpretation","I11"
"Interpretation","I12"
"Interpretation","I14"
"Interpretation","I17"
"Interpretation","I18"
"Interpretation","I20"
"Self-Concept","I25"
"Self-Concept","I31"
"Self-Concept","I34"
"Self-Concept","I38"
"Self-Concept","I39"
"Self-Concept","I48"
"Self-Concept","I51"
"Teacher","I30"
"Teacher","I32"
"Teacher","I43"
"Teacher","I44"
"Teacher","I46"
"Test","I01"
"Test","I04"
"Test","I08"
"Test","I10"
"Test","I13"
"Test","I15"
"Test","I21"
"Test","I22"
"Worth","I24"
"Worth","I26"
"Worth","I27"
"Worth","I28"
"Worth","I29"
"Worth","I33"
"Worth","I35"
"Worth","I36"
"Worth","I37"
"Worth","I40"
"Worth","I41"
"Worth","I42"
"Worth","I45"
"Worth","I47"
"Worth","I49"
"Worth","I50"
