"student_id","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","I21","I22","I23","I24","I25","I26","I27","I28","I29","I30","I31","I32","I33","I34","I35","I36","I37","I38","I39","I40","I41","I42","I43","I44","I45","I46","I47","I48","I49","I50","I51"
1,4,3,4,4,3,2,4,4,2,5,3,2,5,2,4,3,3,3,2,3,5,5,2,3,2,2,2,4,3,2,2,1,3,4,2,4,3,2,4,4,2,3,4,2,2,4,2,3,3,3,4
2,3,4,4,2,1,2,3,4,1,4,2,1,5,3,4,3,4,2,3,4,3,5,2,2,2,4,2,2,1,1,1,1,1,3,1,4,4,1,1,1,1,1,3,4,3,2,2,4,3,3,2
3,4,3,2,4,4,3,4,4,3,4,2,4,5,3,3,2,4,1,3,4,4,4,3,3,4,3,2,3,2,1,1,1,1,1,1,4,3,2,2,2,1,1,1,1,1,1,1,4,3,2,2
4,5,3,2,4,3,1,4,5,3,5,3,2,3,3,5,3,1,4,3,2,5,5,2,4,2,3,4,3,5,4,5,3,1,4,5,4,2,5,5,1,4,2,5,4,2,3,3,4,3,2,3
5,4,2,3,3,2,2,2,4,4,4,2,2,4,2,4,3,4,3,3,2,NA,3,3,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2
6,4,3,3,3,3,2,4,4,2,4,3,2,3,3,4,4,2,4,3,3,3,4,3,3,4,2,3,2,2,2,3,1,2,2,1,4,4,4,3,3,2,3,3,2,1,3,2,3,3,3,4
7,4,4,5,5,5,5,4,5,5,5,4,3,5,2,5,5,2,2,3,4,4,2,3,2,1,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
8,1,3,5,1,3,2,4,4,1,5,2,1,2,1,5,5,1,5,5,2,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,3,2,2,2,3,2,4,4,2,4,3,2,2,3,4,2,3,2,2,3,2,3,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,4,2,3,3,2,1,2,5,1,3,2,2,3,3,4,4,3,1,3,3,3,3,3,3,4,1,1,2,1,1,4,1,2,5,1,4,2,4,4,4,1,2,2,4,3,1,1,4,3,1,2
11,2,2,1,2,2,1,3,2,2,2,2,1,2,2,2,2,2,1,1,2,1,3,1,2,2,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,3,1,2,4,1,2,1
12,4,4,5,4,3,4,4,5,3,5,2,3,4,2,5,5,4,5,4,4,4,5,4,3,3,2,1,2,2,1,2,1,2,3,2,5,2,3,2,2,1,1,2,3,1,4,1,3,1,1,3
13,4,2,3,3,3,2,3,5,2,5,1,1,4,2,4,3,3,4,4,3,2,5,2,1,4,4,3,3,3,1,2,1,2,5,1,1,4,4,3,5,1,1,1,1,3,3,1,4,3,3,5
14,2,1,3,1,2,1,3,2,1,3,1,1,2,1,2,3,1,1,3,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
15,5,3,3,5,5,4,5,5,2,5,2,3,4,2,5,2,2,2,2,4,3,1,2,3,3,2,2,3,1,1,4,2,3,4,2,4,3,3,4,4,1,1,4,3,2,4,4,4,1,1,3
18,2,2,1,2,3,1,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,4,2,NA,4,2,2,5,4,1,4,4,4,3,2,4,2,2,3,2,2,3,4,1,5,2,4,2,4,1,1,1,1,2,1,1,2,2,3,2,4,2,2,1,4,4,4,1,4,2,1,3
20,2,2,2,2,2,3,2,2,3,2,3,2,1,2,2,2,1,1,2,2,2,2,2,4,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
21,5,3,2,3,3,2,3,5,3,5,5,4,4,5,5,1,2,4,2,5,1,5,1,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,2
22,4,3,2,4,2,2,3,4,1,4,3,4,3,2,4,2,2,1,2,2,1,1,2,2,4,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2
24,2,3,2,2,3,2,3,3,1,3,2,2,3,2,3,2,1,2,2,2,2,1,2,2,3,1,1,1,1,1,2,1,1,2,1,3,2,2,3,2,1,1,1,1,1,1,1,2,2,1,1
26,4,1,3,3,3,1,4,5,1,5,4,3,4,1,4,3,1,1,3,1,4,3,3,2,2,1,1,1,1,1,1,1,1,4,3,3,2,1,1,3,1,1,1,1,3,4,1,1,1,1,1
28,4,3,2,3,3,3,4,5,1,5,3,2,3,2,5,3,2,3,2,4,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2
29,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,3,1,2,3,1,2,3,4,1,2,2,2,4,2,3,2,1,2,3,2,1,2,3,3,3,2,2,2,2,1,1,1,1,1,2,1,2,2,1,3,1,1,1,2,1,2,1,1,1,1,2
31,3,5,2,2,2,3,3,3,1,1,2,2,2,1,2,2,1,1,2,3,2,2,2,2,4,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1
32,2,2,3,3,3,3,4,3,2,2,2,4,3,3,2,2,2,4,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,3,2,2,2,3,2,2
34,3,2,4,2,4,2,2,4,2,3,1,1,2,2,3,3,2,1,1,2,1,1,1,3,2,1,1,4,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,2,4,2,1,2
35,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,4,3,2,3,4,3,5,5,3,5,4,5,5,3,4,3,4,5,3,4,2,3,2,3,4,2,1,3,2,2,3,1,2,3,2,2,2,3,3,4,2,2,3,2,3,2,2,4,2,2,3
38,5,4,2,3,3,5,4,4,3,5,4,3,4,3,5,2,3,2,5,5,3,5,4,1,1,1,1,1,1,1,5,1,2,5,2,2,3,4,5,1,1,1,4,3,1,1,3,3,1,1,3
39,4,2,2,2,3,3,3,4,1,4,1,2,3,1,3,2,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,4,2,4,3,4,2,3,4,5,4,3,3,4,2,3,4,5,1,2,3,1,2,2,3,3,1,1,3,2,1,1,2,3,5,4,3,4,3,2,4,2,2,3,4,4,2,2,4,2,2,1
42,4,1,4,2,2,1,3,4,1,3,3,2,2,2,3,3,1,2,2,1,1,2,1,3,3,2,2,2,1,1,2,1,1,2,1,1,3,1,4,2,1,1,1,3,4,1,1,3,2,2,3
44,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,4,3,1,3,3,2,3,3,2,2,3,2,2,2,1,2,1,2,3,2,2,4,3,2,3,2,2,3,1,3,1,1,2,2,2,2
45,4,4,2,2,3,3,3,5,4,3,4,3,4,3,3,2,4,3,4,3,4,4,5,2,5,4,2,3,2,2,5,4,3,5,5,5,5,5,4,5,1,2,5,2,3,3,4,3,2,2,5
47,3,2,2,2,2,2,2,2,1,1,1,2,3,3,3,1,1,1,1,3,2,2,1,3,2,3,2,3,2,3,1,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,3
48,4,3,3,4,3,3,3,4,3,4,2,2,3,3,3,3,1,1,3,2,2,2,1,3,4,3,1,2,1,1,1,1,1,3,1,3,3,3,2,4,2,3,2,3,3,2,1,3,4,3,3
50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,4,4,1,2,1,3,4,3,4,5,3,3,5,2,3,3,4,3,3,5,4,4,3,3
51,1,1,1,1,1,1,2,5,1,5,1,2,2,1,5,1,2,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,5,1,4,1,3,1,1,1
52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,2,3,2,2,5,2,2,2,2,4,3,2,4,2,1,3,3,3,3,3,3,3,3,3,3
53,4,4,4,4,3,3,5,5,1,4,5,4,4,3,5,4,3,4,4,3,2,2,2,3,5,2,2,3,3,2,3,1,1,4,1,3,4,1,5,4,1,1,2,1,1,1,1,5,1,1,2
55,3,3,1,3,3,3,5,3,3,3,4,3,4,4,5,4,3,3,3,4,3,2,3,1,4,3,2,2,2,1,1,1,3,2,2,2,2,1,1,1,1,1,1,2,3,1,1,2,1,1,2
